책제목,저자,Lexile,소장위치,등록번호,대출상태,청구기호
Umbrella,Taro Yashima,480,[영어]부산영어도서관 400-490L,BGE000026549,대출가능,400~490L 895-5
Water Wishes,Mallory Loehr,480,[영어]부산영어도서관 400-490L,BGE000033134,대출불가(관외대출중),400~490L 813-649
How To Lose All Your Friends,Nancy Carlson,480,[영어]부산영어도서관 400-490L,BGE000036813,대출가능,400~490L 813-921
Backbeard: Pirate For Hire,Matthew McElligott,480,[영어]부산영어도서관 400-490L,BGE000030077,대출가능,400~490L 813-573
Lamb Who Came For Dinner,Steve Smallman,480,[영어]부산영어도서관 400-490L,BGE000067799,대출가능,400~490L 813-800=2
Slumber Party!,Judith Caseley,480,[영어]부산영어도서관 400-490L,BGE000011152,대출가능,400~490L 500-6-M-12
Willy's Pictures,Anthony Browne,480,[영어]부산영어도서관 400-490L,BGE000062969,대출가능,400~490L 823-48-4
Cheer Challenge,Jake Maddox,480,[영어]부산영어도서관 400-490L,BGE000044178,대출가능,400~490L 813-1218-4=2
Busy Bea,Nancy Poydar,480,[영어]부산영어도서관 400-490L,BGE000039662,대출가능,-
Ghost Who Haunted The Capitol,Steve Brezenoff,480,[영어]부산영어도서관 400-490L,BGE000044181,대출가능,400~490L 813-1220-1=2
Crazy Mixed-Up Spanglish Day,Marisa Montes,480,[영어]부산영어도서관 400-490L,BGE000004486,대출가능,400~490L 813-102-1
George And Martha Rise And Shine,James Marshall,480,[영어]부산영어도서관 400-490L,BGE000027910,대출가능,400~490L 813-1181-9
Martha Walks The Dog,Susan Meddaugh,480,[영어]부산영어도서관 400-490L,BGE000038592,대출가능,400~490L 813-1532-3
When I Grow Up,Joellyn Cicciarelli,480,[영어]부산영어도서관 400-490L,BGE000071547,대출가능,400~490L 813-2375-1-33
James Marshall's Cinderella,Barbara Karlin,480,[영어]부산영어도서관 400-490L,BGE000044294,대출가능,400~490L 398-46
Olivia Forms A Band,Ian Falconer,480,[영어]부산영어도서관 400-490L,BGE000034141,대출가능,400~490L 813-925-35
Charlie And Kiwi: An Evolutionary Adventure,New York Hall Of Science,480,[영어]부산영어도서관 400-490L,BGE000043471,대출가능,400~490L 813-1422
"Up, Up And Away",Ruth Heller,480,[영어]부산영어도서관 400-490L,BGE000079305,대출가능,400~490L 813-1960-26
Zombie Who Visited New Orleans,Steve Brezenoff,480,[영어]부산영어도서관 400-490L,BGE000044187,대출가능,400~490L 813-1220-3=2
A Day In Space,Suzanne Lord,480,[영어]부산영어도서관 400-490L,BGE000002515,대출가능,400~490L 629-2
Listening Walk,Paul Showers,480,[영어]부산영어도서관 400-490L,BGE000043561,대출가능,400~490L 813-1444
Soccer Spirit,Jake Maddox,480,[영어]부산영어도서관 400-490L,BGE000043831,대출가능,400~490L 813-1218-6
Ice Wreck,Lucille Recht Penner,480,[영어]부산영어도서관 400-490L,BGE000044171,대출가능,400~490L 919-3=2
Arrow to the Sun,Gerald McDermott,480,[영어]부산영어도서관 400-490L,BGE000018382,대출가능,400~490L 398-7
Secret Agent Splat!,Rob Scotton,480,[영어]부산영어도서관 400-490L,BGE000045019,대출가능,400~490L 813-1522-2
Mystery Of The Kibble Crook,Norman Bridwell,480,[영어]부산영어도서관 400-490L,BGE000079373,대출불가(관외대출중),400~490L 813-19-9
Little Owl's Night,Divya Srinivasan,480,[영어]부산영어도서관 400-490L,BGE000059729,대출가능,400~490L 813-1852-1=3
You Are Special,Max Lucado,480,[영어]부산영어도서관 400-490L,BGE000072762,대출가능,400~490L 813-510-1
Caring,Lucia Raatma,480,[영어]부산영어도서관 400-490L,BGE000013822,대출가능,400~490L 155-3-1
Clifford's Pals,Norman Bridwell,480,[영어]부산영어도서관 400-490L,BGE000044212,대출가능,400~490L 813-17-5
"What's In The Egg, Little Pip?",Karma Wilson,480,[영어]부산영어도서관 400-490L,BGE000044165,대출가능,400~490L 813-1450=2
Case Of The Amazing Zelda,Lewis Montgomery,480,[영어]부산영어도서관 400-490L,BGE000042128,대출불가(관외대출중),400~490L 813-1363-4
Lines,Fred Walker,480,[영어]부산영어도서관 400-490L,BGE000075739,대출가능,400~490L 895-14
"Who's Afraid Of The Big, Bad..",Teddy Slater,480,[영어]부산영어도서관 400-490L,BGE000003525,대출가능,400~490L 813-71-3-6
"Biggest, Best Snowman",Margery Cuyler,480,[영어]부산영어도서관 400-490L,BGE000044338,대출가능,400~490L 813-1483
On The Go,Ann Morris,480,[영어]부산영어도서관 400-490L,BGE000038669,대출가능,400~490L 813-1111
Ambulances,Marcia S Freeman,480,[영어]부산영어도서관 400-490L,BGE000055869,대출불가(관외대출중),400~490L 629-16
Feeding Time,Lee Davis,480,[영어]부산영어도서관 400-490L,BGE000081512,대출가능,400~490L 428-44-1-20
Houndsley And Catina Plink And,James Howe,480,[영어]부산영어도서관 400-490L,BGE000030243,대출가능,400~490L 813-561
The Dumb Bunnies Go To The Zoo,Dav Pilkey,480,[영어]부산영어도서관 400-490L,BGE000035945,대출가능,400~490L 813-895
Albert Einstein,Saddleback Publishing,480,[영어]부산영어도서관 400-490L,BGE000073371,대출불가(관외대출중),400~490L 920-17-5
My Rotten Redheaded Older...,Patricia Polacco,480,[영어]부산영어도서관 400-490L,BGE000032405,대출가능,400~490L 813-661
Stone Soup: An Old Tale,Marcia Brown,480,[영어]부산영어도서관 400-490L,BGE000018512,대출가능,400~490L 843-2
"Mind Your Manners, B. B. Wolf",Judy Sierra,480,[영어]부산영어도서관 400-490L,BGE000036856,대출가능,400~490L 813-960
"Who's Afraid of the Big, Bad Bully?",Teddy Slater,480,[영어]부산영어도서관 400-490L,BGE000003525,대출가능,400~490L 813-71-3-6
Living In The Savannah,Linda Bullock,480,[영어]부산영어도서관 400-490L,BGE000011025,대출가능,400~490L 900-1-G-12
My Rotten Redheaded Older Brother,Patricia Polacco,480,[영어]부산영어도서관 400-490L,BGE000032405,대출가능,400~490L 813-661
What Is Volume?,Lisa Trumbauer,480,[영어]부산영어도서관 400-490L,BGE000011262,대출가능,400~490L 500-2-S-47
Emma's Yucky Brother,Jean Little,480,[영어]부산영어도서관 400-490L,BGE000030176,대출가능,400~490L 808-4-3-41
Olivia... And The Missing Toy,Ian Falconer,480,[영어]부산영어도서관 400-490L,BGE000022179,대출가능,400~490L 813-925-36
E-mergency!,Ezra Fields-Meyer,480,[영어]부산영어도서관 400-490L,BGE000041358,대출가능,400~490L 813-1315
Giant Crush,Gennifer Choldenko,480,[영어]부산영어도서관 400-490L,BGE000042079,대출가능,400~490L 813-1356
Iris And Walter The Sleepover,Elissa Haden Guest,480,[영어]부산영어도서관 400-490L,BGE000045160,대출불가(관외대출중),400~490L 813-684-5
Caps for Sale,Esphyr Slobodkina,480,[영어]부산영어도서관 400-490L,BGE000009883,대출가능,400~490L 813-143
Man Who Walked Between The Tow,Mordicai Gerstein,480,[영어]부산영어도서관 400-490L,BGE000030625,대출가능,400~490L 791-8
Madeline,Ludwig Bemelmans,480,[영어]부산영어도서관 400-490L,BGE000018496,대출가능,400~490L 813-269-2
A House for Hermit Crab,Eric Carle,480,[영어]부산영어도서관 400-490L,BGE000000451,대출가능,400~490L 741-1
Benjamin Franklin,Philip Abraham,480,[영어]부산영어도서관 400-490L,BGE000029189,대출가능,400~490L 008-1-6
It's Mine,Gina Mayer,480,[영어]부산영어도서관 400-490L,BGE000000181,대출가능,400~490L 813-6
Beauty And The Beast,J  Elizabeth Mills,480,[영어]부산영어도서관 400-490L,BGE000069657,대출가능,400~490L 428-20-46
Freckleface Strawberry,Julianne Moore,480,[영어]부산영어도서관 400-490L,BGE000033779,대출가능,400~490L 813-725-2
Stone Soup,Ann McGovern,480,[영어]부산영어도서관 400-490L,BGE000010078,대출가능,400~490L 398-3
Clifford's Pals,Norman Bridwell,480,[영어]부산영어도서관 400-490L,BGE000044212,대출가능,400~490L 813-17-5
The Magic School Bus Blasts into Space,Joanna Cole,480,[영어]부산영어도서관 400-490L,BGE000078088,대출불가(관외대출중),400~490L 508-12-21=2
Stars And Constellations,Elizabeth Bennett,480,[영어]부산영어도서관 400-490L,BGE000065088,대출불가(관외대출중),400~490L 520-2-3
Seasons,Robin Nelson,480,[영어]부산영어도서관 400-490L,BGE000043530,대출가능,400~490L 583-5
We Share Everything!,Robert Munsch,480,[영어]부산영어도서관 400-490L,BGE000072158,대출가능,400~490L 823-294
Ballet Kitty,Bernette Ford,480,[영어]부산영어도서관 400-490L,BGE000062414,대출가능,400~490L 813-2335
Monster Trucks!,Susan E Goodman,480,[영어]부산영어도서관 400-490L,BGE000055770,대출가능,400~490L 813-2062
Red Truck,Kersten Hamilton,480,[영어]부산영어도서관 400-490L,BGE000048413,대출불가(관외대출중),400~490L 813-1622
Nancy Clancy Sees The Future,First Last,480,[영어]부산영어도서관 400-490L,BGE000047204,대출가능,400~490L 813-1586-3
April Fool!,Karen Gray Ruelle,480,[영어]부산영어도서관 400-490L,BGE000080685,대출가능,400~490L 813-65-9
The Apple Pie Tree,Zoe Hall,480,[영어]부산영어도서관 400-490L,BGE000000382,대출가능,400~490L 583-4
Knots on a Counting Rope,Bill Martin Jr,480,[영어]부산영어도서관 400-490L,BGE000002377,대출가능,400~490L 813-50
Vegetables,Emily K Green,480,[영어]부산영어도서관 400-490L,BGE000002575,대출가능,400~490L 500-2-S-2
Clifford at the Circus,Norman Bridwell,480,[영어]부산영어도서관 400-490L,BGE000062413,대출가능,400~490L 813-17-7
"Dog Who Cried ""Woof!""",Norman Bridwell,480,[영어]부산영어도서관 400-490L,BGE000079372,대출가능,400~490L 813-19-8
Helen Keller,Sean Dolan,470,[영어]부산영어도서관 400-490L,BGE000004186,대출가능,400~490L 362-1
How Do Dinosaurs Count to Ten?,Jane Yolen,480,[영어]부산영어도서관 400-490L,BGE000017173,대출가능,400~490L 813-215-4
Dinosaur Day,Vanessa York,470,[영어]부산영어도서관 400-490L,BGE000064750,대출불가(관외대출중),400~490L 813-1960-10=3
The Ultimate,K  A Applegate,470,[영어]부산영어도서관 400-490L,BGE000049289,대출가능,400~490L 813-1674
Earrings,Judith Viorst,470,[영어]부산영어도서관 400-490L,BGE000024857,대출불가(관외대출중),400~490L 808-7-2-26
George And Martha: Two Great Friends,James Marshall,470,[영어]부산영어도서관 400-490L,BGE000022507,대출가능,400~490L 813-1181-7
Waiting For Snow,Gina Shaw,470,[영어]부산영어도서관 400-490L,BGE000053403,대출불가(관외대출중),400~490L 813-1930
Princess And The Peanut Allerg,Wendy McClure,470,[영어]부산영어도서관 400-490L,BGE000040332,대출가능,400~490L 813-1226
Hanukkah Trike,Michelle Edwards,470,[영어]부산영어도서관 400-490L,BGE000040330,대출가능,400~490L 813-1224
Yoko Yak's Yakety Yakking,Barbara deRubertis,470,[영어]부산영어도서관 400-490L,BGE000040502,대출가능,400~490L 813-1255-Y
"Gus, The Pilgrim Turkey",Teresa Bateman,470,[영어]부산영어도서관 400-490L,BGE000038501,대출가능,400~490L 813-1128
"April And Esme, Tooth Fairies",Bob Graham,470,[영어]부산영어도서관 400-490L,BGE000038387,대출가능,400~490L 899-4
Quicksand Book,Tomie dePaola,470,[영어]부산영어도서관 400-490L,BGE000047240,대출가능,400~490L 813-1589
It's A Snap!: George Eastman's First Photograph,Monica Kulling,470,[영어]부산영어도서관 400-490L,BGE000043525,대출가능,400~490L 770-2
Cellular,Ellen Schwartz,470,[영어]부산영어도서관 400-490L,BGE000043793,대출가능,400~490L 813-1452
Last Martin,Jonathan Friesen,470,[영어]부산영어도서관 400-490L,BGE000044189,대출가능,400~490L 813-1475=2
Big Bob And The Thanksgiving Potatoes,Daniel Pinkwater,470,[영어]부산영어도서관 400-490L,BGE000022018,대출가능,400~490L 813-67-3-29
Metal Man,Aaron Reynolds,470,[영어]부산영어도서관 400-490L,BGE000028387,대출가능,400~490L 813-504
